tab 	samples
analysts	azimuth	azimuth_dec_correction	bed_dip	bed_dip_direction	citations	dip	geologic_classes	geologic_types	height	lat	lithologies	lon	method_codes	result_quality	result_type	sample	site
Yiming Zhang	341.1	0	0	90	This study	-93	Igneous:Intrusive	Not Specified	0		Anorthosite		SO-CMD-NORTH	g	i	AX1-1	AX1
Yiming Zhang	12.1	0	0	90	This study	-82	Igneous:Intrusive	Not Specified	0		Anorthosite		SO-CMD-NORTH	g	i	AX1-2	AX1
Yiming Zhang	8.1	0	0	90	This study	-84	Igneous:Intrusive	Not Specified	0		Anorthosite		SO-CMD-NORTH	g	i	AX1-3	AX1
Yiming Zhang	7.8	0	0	90	This study	-77	Igneous:Intrusive	Not Specified	0		Anorthosite		SO-CMD-NORTH	g	i	AX1-4	AX1
Yiming Zhang	7.5	0	0	90	This study	-81	Igneous:Intrusive	Not Specified	0		Anorthosite		SO-CMD-NORTH	g	i	AX1-5	AX1
Yiming Zhang	350.5	0	0	90	This study	-90	Igneous:Intrusive	Not Specified	0		Anorthosite		SO-CMD-NORTH	g	i	AX1-6	AX1
Yiming Zhang	10.7	0	0	90	This study	-86	Igneous:Intrusive	Not Specified	0		Anorthosite		SO-CMD-NORTH	g	i	AX1-7	AX1
Yiming Zhang	34.7	0	0	90	This study	-87	Igneous:Intrusive	Not Specified	0		Anorthosite		SO-CMD-NORTH	g	i	AX1-8	AX1
Yiming Zhang	228.2	0	0	90	This study	-64	Igneous:Intrusive	Not Specified	0		Anorthosite		SO-CMD-NORTH	g	i	AX2-1	AX2
Yiming Zhang	228.2	0	0	90	This study	-64	Igneous:Intrusive	Not Specified	0		Anorthosite		SO-CMD-NORTH	g	i	AX2-2	AX2
Yiming Zhang	202.2	0	0	90	This study	-43	Igneous:Intrusive	Not Specified	0		Anorthosite		SO-CMD-NORTH	g	i	AX2-3	AX2
Yiming Zhang	278.2	0	0	90	This study	-105	Igneous:Intrusive	Not Specified	0		Anorthosite		SO-CMD-NORTH	g	i	AX2-4	AX2
Yiming Zhang	295.2	0	0	90	This study	-102	Igneous:Intrusive	Not Specified	0		Anorthosite		SO-CMD-NORTH	g	i	AX2-5	AX2
Yiming Zhang	292.2	0	0	90	This study	-91	Igneous:Intrusive	Not Specified	0		Anorthosite		SO-CMD-NORTH	g	i	AX2-6	AX2
Yiming Zhang	208.2	0	0	90	This study	-39	Igneous:Intrusive	Not Specified	0		Anorthosite		SO-CMD-NORTH	g	i	AX2-7	AX2
Yiming Zhang	212.2	0	0	90	This study	-35	Igneous:Intrusive	Not Specified	0		Anorthosite		SO-CMD-NORTH	g	i	AX2-8	AX2
Yiming Zhang	227.2	0	0	90	This study	-35	Igneous:Intrusive	Not Specified	0		Anorthosite		SO-CMD-NORTH	g	i	AX2-9	AX2
Yiming Zhang	350.7	0	0	90	This study	-63	Igneous:Intrusive	Not Specified	0		Anorthosite		SO-CMD-NORTH	g	i	AX3-1	AX3
Yiming Zhang	351.7	0	0	90	This study	-71	Igneous:Intrusive	Not Specified	0		Anorthosite		SO-CMD-NORTH	g	i	AX3-2	AX3
Yiming Zhang	339.7	0	0	90	This study	-62	Igneous:Intrusive	Not Specified	0		Anorthosite		SO-CMD-NORTH	g	i	AX3-3	AX3
Yiming Zhang	340.7	0	0	90	This study	-83	Igneous:Intrusive	Not Specified	0		Anorthosite		SO-CMD-NORTH	g	i	AX3-4	AX3
Yiming Zhang	339.7	0	0	90	This study	-53	Igneous:Intrusive	Not Specified	0		Anorthosite		SO-CMD-NORTH	g	i	AX3-5	AX3
Yiming Zhang	342.7	0	0	90	This study	-75	Igneous:Intrusive	Not Specified	0		Anorthosite		SO-CMD-NORTH	g	i	AX3-6	AX3
Yiming Zhang	341.7	0	0	90	This study	-81	Igneous:Intrusive	Not Specified	0		Anorthosite		SO-CMD-NORTH	g	i	AX3-7	AX3
Yiming Zhang	344.7	0	0	90	This study	-65	Igneous:Intrusive	Not Specified	0		Anorthosite		SO-CMD-NORTH	g	i	AX3-8	AX3
Yiming Zhang	330.7	0	0	90	This study	-67	Igneous:Intrusive	Not Specified	0		Anorthosite		SO-CMD-NORTH	g	i	AX3-9	AX3
Yiming Zhang	335.7	0	0	90	This study	-73	Igneous:Intrusive	Not Specified	0		Anorthosite		SO-CMD-NORTH	g	i	AX3-10	AX3
Yiming Zhang	316.6	0	0	90	This study	-70	Igneous:Intrusive	Not Specified	0		Anorthosite		SO-CMD-NORTH	g	i	AX4-1	AX4
Yiming Zhang	316.6	0	0	90	This study	-65	Igneous:Intrusive	Not Specified	0		Anorthosite		SO-CMD-NORTH	g	i	AX4-2	AX4
Yiming Zhang	310.2	0	0	90	This study	-66	Igneous:Intrusive	Not Specified	0		Anorthosite		SO-CMD-NORTH	g	i	AX4-3	AX4
Yiming Zhang	306.2	0	0	90	This study	-79	Igneous:Intrusive	Not Specified	0		Anorthosite		SO-CMD-NORTH	g	i	AX4-4	AX4
Yiming Zhang	319.9	0	0	90	This study	-74	Igneous:Intrusive	Not Specified	0		Anorthosite		SO-CMD-NORTH	g	i	AX4-5	AX4
Yiming Zhang	319.9	0	0	90	This study	-94	Igneous:Intrusive	Not Specified	0		Anorthosite		SO-CMD-NORTH	g	i	AX4-6	AX4
Yiming Zhang	317.1	0	0	90	This study	-95	Igneous:Intrusive	Not Specified	0		Anorthosite		SO-CMD-NORTH	g	i	AX4-7	AX4
Yiming Zhang	306.1	0	0	90	This study	-87	Igneous:Intrusive	Not Specified	0		Anorthosite		SO-CMD-NORTH	g	i	AX4-8	AX4
Yiming Zhang	64.2	0	0	90	This study	-68	Igneous:Intrusive	Not Specified	0		Anorthosite		SO-CMD-NORTH	g	i	AX5-1	AX5
Yiming Zhang	66.9	0	0	90	This study	-64	Igneous:Intrusive	Not Specified	0		Anorthosite		SO-CMD-NORTH	g	i	AX5-3	AX5
Yiming Zhang	57	0	0	90	This study	-44	Igneous:Intrusive	Not Specified	0		Anorthosite		SO-CMD-NORTH	g	i	AX6-1	AX6
Yiming Zhang	75.3	0	0	90	This study	-47	Igneous:Intrusive	Not Specified	0		Anorthosite		SO-CMD-NORTH	g	i	AX6-2	AX6
Yiming Zhang	78.4	0	0	90	This study	-64	Igneous:Intrusive	Not Specified	0		Anorthosite		SO-CMD-NORTH	g	i	AX6-3	AX6
Yiming Zhang	53.6	0	0	90	This study	-55	Igneous:Intrusive	Not Specified	0		Anorthosite		SO-CMD-NORTH	g	i	AX7-1	AX7
Yiming Zhang	46.2	0	0	90	This study	-51	Igneous:Intrusive	Not Specified	0		Anorthosite		SO-CMD-NORTH	g	i	AX7-2	AX7
Yiming Zhang	11.9	0	0	90	This study	-19	Igneous:Intrusive	Not Specified	0		Anorthosite		SO-CMD-NORTH	g	i	AX8-1	AX8
Yiming Zhang	0.1	0	0	90	This study	-17	Igneous:Intrusive	Not Specified	0		Anorthosite		SO-CMD-NORTH	g	i	AX8-2	AX8
Yiming Zhang	2.1	0	0	90	This study	-24	Igneous:Intrusive	Not Specified	0		Anorthosite		SO-CMD-NORTH	g	i	AX8-3	AX8
Yiming Zhang	335.7	0	0	90	This study	-29	Igneous:Intrusive	Not Specified	0		Anorthosite		SO-CMD-NORTH	g	i	AX9-1	AX9
Yiming Zhang	29.8	0	0	90	This study	-12	Igneous:Intrusive	Not Specified	0		Anorthosite		SO-CMD-NORTH	g	i	AX9-2	AX9
Yiming Zhang	2.2	0	0	90	This study	-35	Igneous:Intrusive	Not Specified	0		Anorthosite		SO-CMD-NORTH	g	i	AX10-1	AX10
Yiming Zhang	3.4	0	0	90	This study	-35	Igneous:Intrusive	Not Specified	0		Anorthosite		SO-CMD-NORTH	g	i	AX10-2	AX10
Yiming Zhang	5.4	0	0	90	This study	-37	Igneous:Intrusive	Not Specified	0		Anorthosite		SO-CMD-NORTH	g	i	AX10-3	AX10
Yiming Zhang	275.7	0	0	90	This study	-68	Igneous:Intrusive	Not Specified	0		Anorthosite		SO-CMD-NORTH	g	i	AX11-1	AX11
Yiming Zhang	295.7	0	0	90	This study	-86	Igneous:Intrusive	Not Specified	0		Anorthosite		SO-CMD-NORTH	g	i	AX11-2	AX11
Yiming Zhang	291.5	0	0	90	This study	-89	Igneous:Intrusive	Not Specified	0		Anorthosite		SO-CMD-NORTH	g	i	AX11-4	AX11
Yiming Zhang	289.5	0	0	90	This study	-81	Igneous:Intrusive	Not Specified	0		Anorthosite		SO-CMD-NORTH	g	i	AX11-5	AX11
Yiming Zhang	286.4	0	0	90	This study	-83	Igneous:Intrusive	Not Specified	0		Anorthosite		SO-CMD-NORTH	g	i	AX11-6	AX11
Yiming Zhang	286.8	0	0	90	This study	-80	Igneous:Intrusive	Not Specified	0		Anorthosite		SO-CMD-NORTH	g	i	AX11-7	AX11
Yiming Zhang	291.8	0	0	90	This study	-86	Igneous:Intrusive	Not Specified	0		Anorthosite		SO-CMD-NORTH	g	i	AX11-8	AX11
Yiming Zhang	281.2	0	0	90	This study	-81	Igneous:Intrusive	Not Specified	0		Anorthosite		SO-CMD-NORTH	g	i	AX11-9	AX11
Yiming Zhang	331.1	0	0	90	This study	-88	Igneous:Intrusive	Not Specified	0		Anorthosite		SO-CMD-NORTH	g	i	AX12-1	AX12
