tab	sites
site	location	samples	specimens	dir_alpha95	dir_comp_name	dir_dec	dir_inc	dir_k	dir_n_samples	dir_n_specimens	dir_n_specimens_lines	dir_n_specimens_planes	dir_polarity	dir_r	dir_tilt_correction	lat	lon	analysts	criteria	software_packages	citations	method_codes	result_quality	vgp_dm	vgp_dp	vgp_lat	vgp_lon
AX1	Northern Minnesota	AX1-1:AX1-2:AX1-3:AX1-4:AX1-5:AX1-6:AX1-7:AX1-8	AX1-1b:AX1-2b:AX1-3b:AX1-4b:AX1-5b:AX1-6b:AX1-7b:AX1-8b	    2.4 	mt	  293.3 	   42.6 	   536 	8	8 	8 	0 	t	7.9869 	0	47.2	-91.4		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	    3.0 	    1.8 	   33.4 	  180.0 
AX1	Northern Minnesota	AX1-1:AX1-2:AX1-3:AX1-4:AX1-5:AX1-6:AX1-7:AX1-8	AX1-1b:AX1-2b:AX1-3b:AX1-4b:AX1-5b:AX1-6b:AX1-7b:AX1-8b	    2.4 	mt	  293.3 	   42.6 	   536 	8	8 	8 	0 	t	7.9869 	100	47.2	-91.4		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	    3.0 	    1.8 	   33.4 	  180.0 
AX10	Northern Minnesota	AX10-1:AX10-2:AX10-3	AX10-1b:AX10-2b:AX10-3b	    6.5 	mt	  284.5 	   27.2 	   361 	3	3 	3 	0 	t	2.9945 	0	47.2	-91.4		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	    7.1 	    3.9 	   20.3 	  178.1 
AX10	Northern Minnesota	AX10-1:AX10-2:AX10-3	AX10-1b:AX10-2b:AX10-3b	    6.5 	mt	  284.5 	   27.2 	   361 	3	3 	3 	0 	t	2.9945 	100	47.2	-91.4		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	    7.1 	    3.9 	   20.3 	  178.1 
AX11	Northern Minnesota	AX11-1:AX11-2:AX11-4:AX11-5:AX11-6:AX11-7:AX11-8:AX11-9	AX11-1b:AX11-2b:AX11-4b:AX11-5b:AX11-6b:AX11-7b:AX11-8b:AX11-9b	    3.2 	mt	  284.9 	   23.5 	   305 	8	8 	8 	0 	t	7.9771 	0	47.2	-91.4		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	    3.4 	    1.8 	   19.1 	  176.2 
AX11	Northern Minnesota	AX11-1:AX11-2:AX11-4:AX11-5:AX11-6:AX11-7:AX11-8:AX11-9	AX11-1b:AX11-2b:AX11-4b:AX11-5b:AX11-6b:AX11-7b:AX11-8b:AX11-9b	    3.2 	mt	  284.9 	   23.5 	   305 	8	8 	8 	0 	t	7.9771 	100	47.2	-91.4		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	    3.4 	    1.8 	   19.1 	  176.2 
AX12	Northern Minnesota	AX12-1:AX12-2:AX12-4:AX12-5:AX12-6:AX12-7	AX12-1b:AX12-2b:AX12-4b:AX12-5b:AX12-6b:AX12-7b	   11.3 	mt	  299.9 	   42.4 	    36 	6	6 	6 	0 	n	5.8622 	0	47.2	-91.4		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	   13.9 	    8.6 	   37.8 	  174.9 
AX12	Northern Minnesota	AX12-1:AX12-2:AX12-4:AX12-5:AX12-6:AX12-7	AX12-1b:AX12-2b:AX12-4b:AX12-5b:AX12-6b:AX12-7b	   11.3 	mt	  299.9 	   42.4 	    36 	6	6 	6 	0 	n	5.8622 	100	47.2	-91.4		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	   13.9 	    8.6 	   37.8 	  174.9 
AX13	Northern Minnesota	AX13-1:AX13-2:AX13-3:AX13-4:AX13-5:AX13-6:AX13-7:AX13-8:AX13-9	AX13-1b:AX13-2b:AX13-3b:AX13-4b:AX13-5b:AX13-6b:AX13-7b:AX13-8b:AX13-9b	    3.7 	mt	  290.3 	   21.7 	   195 	9	9 	9 	0 	t	8.9591 	0	47.2	-91.4		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	    3.9 	    2.1 	   22.0 	  171.3 
AX13	Northern Minnesota	AX13-1:AX13-2:AX13-3:AX13-4:AX13-5:AX13-6:AX13-7:AX13-8:AX13-9	AX13-1b:AX13-2b:AX13-3b:AX13-4b:AX13-5b:AX13-6b:AX13-7b:AX13-8b:AX13-9b	    3.7 	mt	  290.3 	   21.7 	   195 	9	9 	9 	0 	t	8.9591 	100	47.2	-91.4		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	    3.9 	    2.1 	   22.0 	  171.3 
