tab 	specimens
analysts	citations	dir_comp	dir_dang	dir_dec	dir_inc	dir_mad_free	dir_n_comps	dir_n_measurements	dir_tilt_correction	experiments	geologic_classes	geologic_types	instrument_codes	int_corr	lithologies	meas_step_max	meas_step_min	meas_step_unit	method_codes	result_quality	sample	software_packages	specimen
Yiming Zhang	This study										Igneous:Intrusive	Not Specified			Anorthosite				LP-NOMAG	g	AX1-1		AX1-1b
	This study	mt	0.5	287.7	57.4	1	1	9	100	AX1-1b_LP-DIR-T	Intrusive:Igneous	Not Specified	hargrave 2019-10-25 11:42:49	u	Anorthosite	843	793	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	AX1-1	pmagpy-4.2.24-1: demag_gui	AX1-1b
	This study	mt	0.5	292.8	45.2	1	1	9	0	AX1-1b_LP-DIR-T	Intrusive:Igneous	Not Specified	hargrave 2019-10-25 11:42:49	u	Anorthosite	843	793	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	AX1-1	pmagpy-4.2.24-1: demag_gui	AX1-1b
	This study	mt	0.5	215.7	25.5	1	1	9	-1	AX1-1b_LP-DIR-T	Intrusive:Igneous	Not Specified	hargrave 2019-10-25 11:42:49	u	Anorthosite	843	793	K	LP-DIR-T:DE-BFL:DA-DIR	g	AX1-1	pmagpy-4.2.24-1: demag_gui	AX1-1b
Yiming Zhang	This study										Intrusive:Igneous	Not Specified			Anorthosite				LP-NOMAG	g	AX1-1		AX1-1b
Yiming Zhang	This study										Igneous:Intrusive	Not Specified			Anorthosite				LP-NOMAG	g	AX1-2		AX1-2b
Yiming Zhang	This study										Intrusive:Igneous	Not Specified			Anorthosite				LP-NOMAG	g	AX1-2		AX1-2b
	This study	mt	0.7	231.4	9.7	1.4	1	11	-1	AX1-2b_LP-DIR-T	Intrusive:Igneous	Not Specified	hargrave 2019-10-25 11:44:22	u	Anorthosite	843	748	K	LP-DIR-T:DE-BFL:DA-DIR	g	AX1-2	pmagpy-4.2.24-1: demag_gui	AX1-2b
	This study	mt	0.7	288.1	39.2	1.4	1	11	0	AX1-2b_LP-DIR-T	Intrusive:Igneous	Not Specified	hargrave 2019-10-25 11:44:22	u	Anorthosite	843	748	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	AX1-2	pmagpy-4.2.24-1: demag_gui	AX1-2b
	This study	mt	0.7	283	51.1	1.4	1	11	100	AX1-2b_LP-DIR-T	Intrusive:Igneous	Not Specified	hargrave 2019-10-25 11:44:22	u	Anorthosite	843	748	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	AX1-2	pmagpy-4.2.24-1: demag_gui	AX1-2b
Yiming Zhang	This study										Intrusive:Igneous	Not Specified			Anorthosite				LP-NOMAG	g	AX1-3		AX1-3b
Yiming Zhang	This study										Igneous:Intrusive	Not Specified			Anorthosite				LP-NOMAG	g	AX1-3		AX1-3b
	This study	mt	0.7	226.6	14.1	1.3	1	10	-1	AX1-3b_LP-DIR-T	Intrusive:Igneous	Not Specified	hargrave 2019-10-25 11:45:53	u	Anorthosite	843	773	K	LP-DIR-T:DE-BFL:DA-DIR	g	AX1-3	pmagpy-4.2.24-1: demag_gui	AX1-3b
	This study	mt	0.7	286.8	55.6	1.3	1	10	100	AX1-3b_LP-DIR-T	Intrusive:Igneous	Not Specified	hargrave 2019-10-25 11:45:53	u	Anorthosite	843	773	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	AX1-3	pmagpy-4.2.24-1: demag_gui	AX1-3b
