tab	specimens
specimen	sample	experiments	meas_step_max	meas_step_min	meas_step_unit	analysts	software_packages	int_abs	int_corr	int_corr_aniso	int_corr_cooling_rate	int_corr_nlt	int_n_measurements	int_treat_dc_field	int_b_beta	int_f	int_frac	int_fvds	int_g	int_gmax	int_q	int_scat	int_dang	int_mad_free	int_drats	int_n_ptrm	citations	method_codes	result_quality	volume	weight
AX1-4a	AX1-4					Yiming Zhang																					This study	LP-NOMAG			
AX1-5a	AX1-5					Yiming Zhang																					This study	LP-NOMAG			
AX1-7a	AX1-7					Yiming Zhang																					This study	LP-NOMAG			
AX10-2a	AX10-2					Yiming Zhang																					This study	LP-NOMAG			
AX10-2a	AX10-2		858	723	K		pmagpy-4.2.24-1: thellier_gui.pmagpy-4.2.24-1	4.66e-05	u	1.00			16	3.00e-05	0.04	0.82	0.62	0.54	0.91	0.20	17.65	t	2.24	5.32	6.24	10	This study	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:IE-TT	g		
AX10-3a	AX10-3		858	748	K		pmagpy-4.2.24-1: thellier_gui.pmagpy-4.2.24-1	4.66e-05	u	1.00			15	3.00e-05	0.04	0.85	0.63	0.58	0.90	0.26	18.48	t	1.54	3.45	10.37	10	This study	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:IE-TT	g		
AX10-3a	AX10-3					Yiming Zhang																					This study	LP-NOMAG			
AX11-4a	AX11-4		839	773	K		pmagpy-4.2.24-1: thellier_gui.pmagpy-4.2.24-1	7.26e-05	u	1.00			10	3.00e-05	0.10	0.74	0.62	0.64	0.84	0.22	6.39	t	3.42	1.45	26.36	8	This study	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:IE-TT	g		
AX11-4a	AX11-4					Yiming Zhang																					This study	LP-NOMAG			
AX11-5a	AX11-5					Yiming Zhang																					This study	LP-NOMAG			
AX11-5a	AX11-5		835	673	K		pmagpy-4.2.24-1: thellier_gui.pmagpy-4.2.24-1	7.26e-05	u	1.00			12	3.00e-05	0.07	0.77	0.68	0.67	0.87	0.19	10.11	t	1.18	3.46	0.20	7	This study	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:IE-TT	g		
AX11-6a	AX11-6		848	473	K		pmagpy-4.2.24-1: thellier_gui.pmagpy-4.2.24-1	7.26e-05	u	1.00			18	3.00e-05	0.05	0.82	0.80	0.76	0.90	0.14	16.27	t	1.65	2.99	23.40	9	This study	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:IE-TT	g		
AX11-6a	AX11-6					Yiming Zhang																					This study	LP-NOMAG			
AX11-9a	AX11-9					Yiming Zhang																					This study	LP-NOMAG			
AX11-9a	AX11-9		835	473	K		pmagpy-4.2.24-1: thellier_gui.pmagpy-4.2.24-1	7.26e-05	u	1.00			14	3.00e-05	0.07	0.63	0.62	0.56	0.88	0.18	7.96	t	1.96	4.83	13.27	7	This study	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:IE-TT	g		
AX12-10a	AX12-10					Yiming Zhang																					This study	LP-NOMAG			
AX12-11a	AX12-11					Yiming Zhang																					This study	LP-NOMAG			
