tab	pmag_specimens
er_sample_name	er_specimen_name	specimen_int_uT	measurement_step_min	measurement_step_min	specimen_lab_field_dc	Anisotropy_correction_factor	NLT_correction_factor	Cooling_rate_correction_factor	specimen_int_n	specimen_frac	specimen_int_ptrm_n	specimen_b_beta	specimen_int_mad	specimen_int_dang	specimen_scat
AX10	AX10-2a	46.61	450	585	30	1.00	-	-	16.00	0.62	10.00	0.04	5.32	2.24	t
AX10	AX10-3a	46.62	475	585	30	1.00	-	-	15.00	0.63	10.00	0.04	3.45	1.54	t
AX11	AX11-4a	72.61	500	566	30	1.00	-	-	10.00	0.62	8.00	0.10	1.45	3.42	t
AX11	AX11-5a	72.59	400	562	30	1.00	-	-	12.00	0.68	7.00	0.07	3.46	1.18	t
AX11	AX11-6a	72.58	200	575	30	1.00	-	-	18.00	0.80	9.00	0.05	2.99	1.65	t
AX11	AX11-9a	72.60	200	562	30	1.00	-	-	14.00	0.62	7.00	0.07	4.83	1.96	t
AX12	AX12-14a	30.34	475	585	30	1.00	-	-	16.00	0.75	10.00	0.06	1.74	0.55	t
AX12	AX12-6a	35.87	475	564	30	1.00	-	-	10.00	0.64	7.00	0.09	3.86	1.87	t
AX12	AX12-8a	34.91	520	570	30	1.00	-	-	10.00	0.72	8.00	0.08	1.48	2.38	t
AX13	AX13-6a	76.80	200	555	30	1.00	-	-	12.00	0.70	6.00	0.06	3.82	1.53	t
AX13	AX13-7a	72.60	475	585	30	1.00	-	-	15.00	0.61	10.00	0.03	3.62	2.09	t
AX13	AX13-8a	84.11	450	560	30	1.00	-	-	9.00	0.74	6.00	0.03	4.92	2.19	t
AX13	AX13-9a	78.05	100	580	30	1.00	-	-	20.00	0.97	9.00	0.02	4.79	0.79	t
AX16	AX16-10a	53.27	510	585	30	1.00	-	-	14.00	0.62	10.00	0.04	2.75	1.10	t
AX16	AX16-11a	44.17	450	570	30	1.00	-	-	14.00	0.70	8.00	0.06	2.86	2.07	t
AX16	AX16-13a	41.68	400	570	30	1.00	-	-	15.00	0.72	8.00	0.07	3.47	1.85	t
AX16	AX16-14a	43.64	400	565	30	1.00	-	-	14.00	0.63	8.00	0.08	3.84	2.12	t
AX16	AX16-15a	31.91	475	570	30	1.00	-	-	13.00	0.61	8.00	0.07	3.07	1.41	t
AX16	AX16-16a	43.30	400	562	30	1.00	-	-	13.00	0.65	7.00	0.09	5.14	2.94	t
AX16	AX16-5a	44.91	425	560	30	1.00	-	-	10.00	0.65	6.00	0.10	7.42	3.90	t
AX16	AX16-9a	48.04	500	585	30	1.00	-	-	15.00	0.61	10.00	0.04	2.98	1.23	t
AX6	AX6-1a	47.36	475	585	30	1.00	-	-	15.00	0.60	10.00	0.02	2.92	1.67	t
AX6	AX6-2a	18.25	400	585	30	1.00	-	-	18.00	0.70	10.00	0.04	3.44	3.43	t
AX6	AX6-3a	25.39	400	585	30	1.00	-	-	18.00	0.76	10.00	0.04	4.28	2.88	t
AX8	AX8-1a	65.38	425	566	30	1.00	-	-	13.00	0.60	8.00	0.07	5.28	2.95	t
AX8	AX8-2a	50.51	400	580	30	1.00	-	-	17.00	0.63	9.00	0.04	3.19	1.29	t
AX8	AX8-3a	41.30	400	580	30	1.00	-	-	17.00	0.75	9.00	0.03	4.38	2.22	t
