tab	pmag_specimens
er_specimen_name	measurement_step_min	measurement_step_max	specimen_lab_field_dc_uT	specimen_int_corr_anisotropy	specimen_int_corr_nlt	specimen_int_corr_cooling_rate	specimen_int_uT	specimen_int_n	specimen_frac	specimen_int_ptrm_n	specimen_b_beta	specimen_int_mad	specimen_int_dang	specimen_scat
AX10-2a	0	550	30	1.00	-1.00	-	82.4	1.300e+01	6.446e-01	5.000e+00	9.349e-02	9.538e+00	4.681e+00	t
AX10-2a	0	555	30	1.00	-1.00	-	78.7	1.400e+01	6.694e-01	6.000e+00	8.458e-02	9.177e+00	3.956e+00	t
AX10-2a	0	560	30	1.00	-1.00	-	77.9	1.500e+01	7.320e-01	6.000e+00	7.324e-02	8.386e+00	3.751e+00	t
AX10-2a	100	550	30	1.00	-1.00	-	85.7	1.200e+01	6.220e-01	5.000e+00	1.075e-01	9.644e+00	4.431e+00	t
AX10-2a	100	555	30	1.00	-1.00	-	80.7	1.300e+01	6.468e-01	6.000e+00	9.721e-02	9.192e+00	4.126e+00	t
AX10-2a	100	560	30	1.00	-1.00	-	79.5	1.400e+01	7.094e-01	6.000e+00	8.338e-02	8.313e+00	4.072e+00	t
AX10-2a	100	562	30	1.00	-1.00	-	70.2	1.500e+01	7.165e-01	7.000e+00	9.279e-02	7.720e+00	3.934e+00	t
AX10-2a	100	564	30	1.00	-1.00	-	68.0	1.600e+01	7.831e-01	7.000e+00	8.165e-02	7.076e+00	3.609e+00	t
AX10-2a	200	560	30	1.00	-1.00	-	80.1	1.300e+01	6.503e-01	6.000e+00	9.988e-02	8.920e+00	4.631e+00	t
AX10-2a	200	562	30	1.00	-1.00	-	69.0	1.400e+01	6.574e-01	7.000e+00	1.083e-01	8.214e+00	4.494e+00	t
AX10-2a	200	564	30	1.00	-1.00	-	66.7	1.500e+01	7.240e-01	7.000e+00	9.361e-02	7.501e+00	3.986e+00	t
AX10-2a	300	564	30	1.00	-1.00	-	60.9	1.400e+01	6.508e-01	7.000e+00	8.681e-02	8.280e+00	3.436e+00	t
AX10-2a	300	566	30	1.00	-1.00	-	56.6	1.500e+01	6.562e-01	8.000e+00	8.280e-02	7.620e+00	3.173e+00	t
