tab	sites
site	location	lat	lon	analysts	citations
AX1	Beaver Bay Complex	47.2	-91.3	Yiming Zhang	This study
AX3	Beaver Bay Complex	47.2	-91.3	Yiming Zhang	This study
AX6	Beaver Bay Complex	47.2	-91.3	Yiming Zhang	This study
AX8	Beaver Bay Complex	47.2	-91.3	Yiming Zhang	This study
AX10	Beaver Bay Complex	47.2	-91.3	Yiming Zhang	This study
AX11	Beaver Bay Complex	47.2	-91.3	Yiming Zhang	This study
AX12	Beaver Bay Complex	47.2	-91.3	Yiming Zhang	This study
AX13	Beaver Bay Complex	47.2	-91.3	Yiming Zhang	This study
AX15	Beaver Bay Complex	47.2	-91.3	Yiming Zhang	This study
AX16	Beaver Bay Complex	47.2	-91.3	Yiming Zhang	This study
AX22	Beaver Bay Complex	47.2	-91.3	Yiming Zhang	This study
