tab	samples
sample	site	height	geologic_classes	geologic_types	lithologies	analysts	azimuth	azimuth_dec_correction	bed_dip	bed_dip_direction	dip	citations	method_codes
BD1-4	BD1	0				Yiming Zhang	  -47.7	    0.0	    0.0	   90.0	  -52.0	This study	SO-CMD-NORTH
BD1-5	BD1	0				Yiming Zhang	  -44.8	    0.0	    0.0	   90.0	  -55.0	This study	SO-CMD-NORTH
BD1-6	BD1	0				Yiming Zhang	  -89.8	    0.0	    0.0	   90.0	  -78.0	This study	SO-CMD-NORTH
BD1-7	BD1	0				Yiming Zhang	  263.2	    0.0	    0.0	   90.0	  -75.0	This study	SO-CMD-NORTH
BD1-11	BD1	0				Yiming Zhang	  197.2	    0.0	    0.0	   90.0	  -52.0	This study	SO-CMD-NORTH
BD1-12	BD1	0				Yiming Zhang	  224.2	    0.0	    0.0	   90.0	  -56.0	This study	SO-CMD-NORTH
BD1-13	BD1	0				Yiming Zhang	  228.2	    0.0	    0.0	   90.0	  -60.0	This study	SO-CMD-NORTH
BD2-5	BD2	0				Yiming Zhang	  -23.3	    0.0	    0.0	   90.0	  -70.0	This study	SO-CMD-NORTH
BD2-6	BD2	0				Yiming Zhang	  -17.3	    0.0	    0.0	   90.0	  -70.0	This study	SO-CMD-NORTH
BD2-7	BD2	0				Yiming Zhang	  -14.3	    0.0	    0.0	   90.0	  -71.0	This study	SO-CMD-NORTH
BD2-8	BD2	0				Yiming Zhang	  -15.3	    0.0	    0.0	   90.0	  -71.0	This study	SO-CMD-NORTH
BD2-9	BD2	0				Yiming Zhang	  -15.7	    0.0	    0.0	   90.0	  -77.0	This study	SO-CMD-NORTH
BD2-10	BD2	0				Yiming Zhang	  -14.8	    0.0	    0.0	   90.0	  -74.0	This study	SO-CMD-NORTH
BD2-11	BD2	0				Yiming Zhang	  -30.5	    0.0	    0.0	   90.0	  -74.0	This study	SO-CMD-NORTH
BD2-12	BD2	0				Yiming Zhang	  -26.9	    0.0	    0.0	   90.0	  -74.0	This study	SO-CMD-NORTH
BD2-13	BD2	0				Yiming Zhang	  -28.3	    0.0	    0.0	   90.0	  -78.0	This study	SO-CMD-NORTH
BD2-14	BD2	0				Yiming Zhang	   18.9	    0.0	    0.0	   90.0	  -88.0	This study	SO-CMD-NORTH
BD2-15	BD2	0				Yiming Zhang	   19.9	    0.0	    0.0	   90.0	  -91.0	This study	SO-CMD-NORTH
