tab	pmag_specimens
er_specimen_name	measurement_step_min	measurement_step_max	specimen_lab_field_dc_uT	specimen_int_corr_anisotropy	specimen_int_corr_nlt	specimen_int_corr_cooling_rate	specimen_int_uT	specimen_int_n	specimen_frac	specimen_int_ptrm_n	specimen_b_beta	specimen_int_mad	specimen_int_dang	specimen_scat
BD2-10a	0	450	30	1.00	-1.00	-	84.1	6.000e+00	6.968e-01	2.000e+00	1.327e-01	2.766e+00	2.103e+00	t
BD2-10a	0	475	30	1.00	-1.00	-	80.3	7.000e+00	7.451e-01	2.000e+00	1.030e-01	2.369e+00	2.039e+00	t
BD2-10a	0	500	30	1.00	-1.00	-	71.3	8.000e+00	7.675e-01	3.000e+00	1.123e-01	2.269e+00	1.708e+00	t
BD2-10a	100	450	30	1.00	-1.00	-	91.9	5.000e+00	6.680e-01	2.000e+00	1.329e-01	2.658e+00	2.552e+00	t
BD2-10a	100	475	30	1.00	-1.00	-	86.0	6.000e+00	7.163e-01	2.000e+00	1.075e-01	2.324e+00	2.477e+00	t
BD2-10a	100	500	30	1.00	-1.00	-	74.5	7.000e+00	7.388e-01	3.000e+00	1.322e-01	2.297e+00	2.106e+00	t
BD2-10a	200	475	30	1.00	-1.00	-	83.2	5.000e+00	6.761e-01	2.000e+00	1.388e-01	1.924e+00	2.731e+00	t
BD2-13a	0	475	30	1.00	-1.00	-	76.8	7.000e+00	7.297e-01	2.000e+00	1.016e-01	4.886e+00	9.038e-01	t
BD2-13a	0	500	30	1.00	-1.00	-	68.7	8.000e+00	7.506e-01	3.000e+00	1.070e-01	4.368e+00	9.177e-01	t
BD2-13a	0	510	30	1.00	-1.00	-	66.9	9.000e+00	7.818e-01	3.000e+00	9.233e-02	4.022e+00	8.385e-01	t
BD2-13a	100	475	30	1.00	-1.00	-	79.7	6.000e+00	7.011e-01	2.000e+00	1.188e-01	5.172e+00	6.942e-01	t
BD2-13a	100	500	30	1.00	-1.00	-	70.2	7.000e+00	7.220e-01	3.000e+00	1.286e-01	4.662e+00	7.410e-01	t
BD2-13a	100	510	30	1.00	-1.00	-	68.0	8.000e+00	7.533e-01	3.000e+00	1.102e-01	4.317e+00	6.923e-01	t
BD2-13a	200	510	30	1.00	-1.00	-	66.2	7.000e+00	6.676e-01	3.000e+00	1.393e-01	1.259e+00	1.139e+00	t
BD2-14a	100	550	30	1.00	-1.00	-	84.6	1.200e+01	6.007e-01	5.000e+00	1.030e-01	4.745e+00	2.908e+00	t
BD2-14a	100	553	30	1.00	-1.00	-	85.4	1.300e+01	6.159e-01	6.000e+00	9.640e-02	4.738e+00	2.723e+00	t
BD2-18a	0	520	30	1.00	-1.00	-	58.5	1.000e+01	6.097e-01	4.000e+00	1.242e-01	4.817e+00	2.979e+00	t
BD2-18a	0	530	30	1.00	-1.00	-	57.9	1.100e+01	6.444e-01	4.000e+00	1.107e-01	4.789e+00	2.843e+00	t
BD2-18a	0	540	30	1.00	-1.00	-	57.3	1.200e+01	6.524e-01	5.000e+00	1.005e-01	4.637e+00	2.935e+00	t
BD2-18a	0	550	30	1.00	-1.00	-	58.0	1.300e+01	6.782e-01	5.000e+00	9.333e-02	4.602e+00	3.279e+00	t
BD2-18a	0	553	30	1.00	-1.00	-	59.2	1.400e+01	6.878e-01	6.000e+00	9.100e-02	4.487e+00	3.378e+00	t
BD2-18a	100	550	30	1.00	-1.00	-	61.2	1.200e+01	6.193e-01	5.000e+00	1.131e-01	4.513e+00	4.690e+00	t
BD2-18a	100	553	30	1.00	-1.00	-	62.6	1.300e+01	6.289e-01	6.000e+00	1.099e-01	4.434e+00	4.738e+00	t
BD2-5b	0	425	30	1.00	-1.00	-	82.0	6.000e+00	6.491e-01	2.000e+00	5.759e-02	3.651e+00	2.182e+00	t
BD2-5b	0	450	30	1.00	-1.00	-	83.6	7.000e+00	6.879e-01	2.000e+00	4.782e-02	3.185e+00	2.223e+00	t
BD2-5b	100	425	30	1.00	-1.00	-	86.9	5.000e+00	6.185e-01	2.000e+00	4.081e-02	3.652e+00	2.207e+00	t
BD2-5b	100	450	30	1.00	-1.00	-	88.3	6.000e+00	6.573e-01	2.000e+00	3.454e-02	3.211e+00	2.304e+00	t
BD2-7b	0	425	30	1.00	-1.00	-	79.5	6.000e+00	6.768e-01	2.000e+00	1.055e-01	8.656e+00	4.662e+00	t
BD2-7b	0	450	30	1.00	-1.00	-	81.8	7.000e+00	7.184e-01	2.000e+00	8.554e-02	7.748e+00	3.523e+00	t
BD2-7b	0	475	30	1.00	-1.00	-	69.8	8.000e+00	7.364e-01	3.000e+00	1.223e-01	7.078e+00	3.373e+00	t
BD2-7b	100	425	30	1.00	-1.00	-	84.9	5.000e+00	6.481e-01	2.000e+00	1.156e-01	8.596e+00	3.784e+00	t
BD2-7b	100	450	30	1.00	-1.00	-	87.2	6.000e+00	6.897e-01	2.000e+00	9.126e-02	7.742e+00	2.752e+00	t
BD2-7b	200	450	30	1.00	-1.00	-	81.2	5.000e+00	6.349e-01	2.000e+00	1.032e-01	8.723e+00	1.944e+00	t
BD2-8b	0	425	30	1.00	-1.00	-	76.0	6.000e+00	6.880e-01	2.000e+00	9.461e-02	7.217e+00	1.642e+00	t
BD2-8b	0	450	30	1.00	-1.00	-	76.8	7.000e+00	7.277e-01	2.000e+00	7.399e-02	6.250e+00	1.903e+00	t
BD2-8b	0	475	30	1.00	-1.00	-	71.3	8.000e+00	7.415e-01	3.000e+00	8.199e-02	5.710e+00	1.862e+00	t
BD2-8b	0	500	30	1.00	-1.00	-	69.1	9.000e+00	7.761e-01	3.000e+00	7.418e-02	5.317e+00	1.819e+00	t
BD2-8b	0	520	30	1.00	-1.00	-	64.1	1.000e+01	7.917e-01	4.000e+00	8.620e-02	5.027e+00	1.784e+00	t
BD2-8b	0	530	30	1.00	-1.00	-	61.5	1.100e+01	8.121e-01	4.000e+00	8.412e-02	4.799e+00	1.933e+00	t
BD2-8b	100	425	30	1.00	-1.00	-	76.9	5.000e+00	6.298e-01	2.000e+00	1.219e-01	4.175e+00	1.597e+00	t
BD2-8b	100	450	30	1.00	-1.00	-	77.6	6.000e+00	6.695e-01	2.000e+00	9.316e-02	3.692e+00	1.727e+00	t
BD2-8b	100	475	30	1.00	-1.00	-	71.4	7.000e+00	6.833e-01	3.000e+00	1.022e-01	3.418e+00	1.625e+00	t
BD2-8b	100	500	30	1.00	-1.00	-	68.9	8.000e+00	7.179e-01	3.000e+00	9.152e-02	3.191e+00	1.762e+00	t
BD2-8b	100	520	30	1.00	-1.00	-	63.3	9.000e+00	7.335e-01	4.000e+00	1.048e-01	3.029e+00	1.781e+00	t
BD2-8b	100	530	30	1.00	-1.00	-	60.5	1.000e+01	7.539e-01	4.000e+00	1.012e-01	2.904e+00	2.020e+00	t
BD2-8b	200	475	30	1.00	-1.00	-	65.0	6.000e+00	6.109e-01	3.000e+00	1.109e-01	2.717e+00	2.863e+00	t
BD2-8b	200	500	30	1.00	-1.00	-	62.8	7.000e+00	6.454e-01	3.000e+00	9.805e-02	2.550e+00	2.987e+00	t
