START TIME: 01/08/2020 02:57:44.285 PM
FINISH TIME: 01/08/2020 03:30:31.185 PM
#DATA: 2
##DATA TABLE Moment (m) [A·m²] vs Field (µ0H) [T]
Step,Iteration,Segment,Field (µ0H) [T],Moment (m) [A·m²],Time Stamp [s],Field Status,Moment (m) Status
2,0,0,-4.8470304204235353E-06,3.0444096532838479E-08,0,GOOD,GOOD
2,0,0,-0.00050045874780754219,2.9930787351181415E-08,19.26,GOOD,GOOD
2,0,0,-0.0010258258351521902,2.957175805981887E-08,38.52,GOOD,GOOD
2,0,0,-0.0015719312449750597,2.8925613300141816E-08,57.78,GOOD,GOOD
2,0,0,-0.0021490136076068277,2.8346184361974852E-08,77.04,GOOD,GOOD
2,0,0,-0.0027484620019602945,2.7999042650560954E-08,96.3,GOOD,GOOD
2,0,0,-0.0033784069248462708,2.7237369691593613E-08,115.56,GOOD,GOOD
2,0,0,-0.0040393252560667822,2.6670809689951263E-08,134.82,GOOD,GOOD
2,0,0,-0.004727947625698622,2.5781861245638176E-08,154.08,GOOD,GOOD
2,0,0,-0.005449807044401022,2.5225055768294217E-08,173.34,GOOD,GOOD
2,0,0,-0.0062077128189820929,2.4610969749205176E-08,192.6,GOOD,GOOD
2,0,0,-0.0070006333355562573,2.3677059485187986E-08,211.86,GOOD,GOOD
2,0,0,-0.0078322094558201175,2.2792344415671195E-08,231.12,GOOD,GOOD
2,0,0,-0.0086987102144442559,2.1753098103562501E-08,250.38,GOOD,GOOD
2,0,0,-0.0096103559216038012,2.1034650357787415E-08,269.64,GOOD,GOOD
2,0,0,-0.010563258998557933,2.0012515284706772E-08,288.9,GOOD,GOOD
2,0,0,-0.011560219033474414,1.9035422894365959E-08,308.16,GOOD,GOOD
2,0,0,-0.012604741154397031,1.805424189821958E-08,327.42,GOOD,GOOD
2,0,0,-0.013698586689141461,1.7124910118790942E-08,346.68,GOOD,GOOD
2,0,0,-0.014843841966149393,1.6120884222609942E-08,365.94,GOOD,GOOD
2,0,0,-0.016040671012458815,1.4706768831540163E-08,385.2,GOOD,GOOD
2,0,0,-0.01729808530021423,1.364808454688775E-08,404.46,GOOD,GOOD
2,0,0,-0.018614500695339136,1.2466686009687212E-08,423.72,GOOD,GOOD
2,0,0,-0.019989556572192733,1.1154378439042435E-08,442.98,GOOD,GOOD
2,0,0,-0.021429350835165999,9.9525650013644164E-09,462.24,GOOD,GOOD
2,0,0,-0.022939311563130043,8.7467768318622648E-09,481.5,GOOD,GOOD
2,0,0,-0.024522844921895402,7.434716967585658E-09,500.76,GOOD,GOOD
2,0,0,-0.026175945608409319,5.8284335875111041E-09,520.02,GOOD,GOOD
2,0,0,-0.027907914605369392,4.6351711083265371E-09,539.28,GOOD,GOOD
2,0,0,-0.029722377440027519,3.4178174864854521E-09,558.54,GOOD,GOOD
2,0,0,-0.031621205768668947,2.0280835069299196E-09,577.8,GOOD,GOOD
2,0,0,-0.033612839457124746,6.4954642428069986E-10,597.06,GOOD,GOOD
2,0,0,-0.03569647809937819,-7.1256123661007614E-10,616.32,GOOD,GOOD
2,0,0,-0.037876050242576342,-2.0425132971881493E-09,635.58,GOOD,GOOD
2,0,0,-0.040161588773488563,-3.3940194268721778E-09,654.84,GOOD,GOOD
2,0,0,-0.042552960901405083,-4.7960938901380175E-09,674.1,GOOD,GOOD
2,0,0,-0.045056020042701442,-6.1433765106215533E-09,693.36,GOOD,GOOD
2,0,0,-0.047677262366362473,-7.3675389254213162E-09,712.62,GOOD,GOOD
2,0,0,-0.050422857455789741,-8.5382696677938569E-09,731.89,GOOD,GOOD
2,0,0,-0.053297448034566319,-9.9564187689756327E-09,751.16,GOOD,GOOD
2,0,0,-0.056309617756531691,-1.0948798684994293E-08,770.44,GOOD,GOOD
2,0,0,-0.059459513703312879,-1.23921896172708E-08,789.7,GOOD,GOOD
2,0,0,-0.0627575530718186,-1.3450038144615887E-08,808.96,GOOD,GOOD
2,0,0,-0.066212852463109956,-1.4534529064481221E-08,828.22,GOOD,GOOD
2,0,0,-0.069834652345233311,-1.5604823092516217E-08,847.48,GOOD,GOOD
2,0,0,-0.073620591581826322,-1.6722945502382936E-08,866.74,GOOD,GOOD
2,0,0,-0.077587428262939045,-1.7512105244174716E-08,886,GOOD,GOOD
2,0,0,-0.081745600059915074,-1.8485202083752981E-08,905.26,GOOD,GOOD
2,0,0,-0.086091740550530899,-1.9182692668487645E-08,924.52,GOOD,GOOD
2,0,0,-0.090645933130510156,-2.002504861655797E-08,943.78,GOOD,GOOD
2,0,0,-0.095413478972015325,-2.087239348170353E-08,963.04,GOOD,GOOD
2,0,0,-0.10040960843312259,-2.1458291845023957E-08,982.3,GOOD,GOOD
2,0,0,-0.10563570415810403,-2.2225917500368392E-08,1001.56,GOOD,GOOD
2,0,0,-0.1111111133123284,-2.2851907448129208E-08,1020.82,GOOD,GOOD
2,0,0,-0.11684345548852293,-2.3142328155302871E-08,1040.08,GOOD,GOOD
2,0,0,-0.12284260505501929,-2.3733119545993073E-08,1059.34,GOOD,GOOD
2,0,0,-0.12912946417205962,-2.4183812255256985E-08,1078.6,GOOD,GOOD
2,0,0,-0.1357110886336991,-2.4718693475881178E-08,1097.86,GOOD,GOOD
