START TIME: 01/09/2020 01:13:57.430 PM
FINISH TIME: 01/09/2020 01:46:44.260 PM
#DATA: 1
##DATA TABLE Moment (m) [A·m²] vs Field (µ0H) [T]
Step,Iteration,Segment,Field (µ0H) [T],Moment (m) [A·m²],Time Stamp [s],Field Status,Moment (m) Status
1,0,0,-3.2375723261677362E-06,2.739051330479764E-08,0,GOOD,GOOD
1,0,0,-0.00050313522538290151,2.7286486458855879E-08,19.26,GOOD,GOOD
1,0,0,-0.0010242554719190496,2.7186338893991221E-08,38.52,GOOD,GOOD
1,0,0,-0.0015734021696520845,2.7045771954740429E-08,57.78,GOOD,GOOD
1,0,0,-0.0021479629440433875,2.6913834146854329E-08,77.04,GOOD,GOOD
1,0,0,-0.0027505943217869338,2.6946285269816654E-08,96.3,GOOD,GOOD
1,0,0,-0.0033792045327297876,2.6696608247264026E-08,115.56,GOOD,GOOD
1,0,0,-0.004039088887275279,2.6639889528507356E-08,134.82,GOOD,GOOD
1,0,0,-0.0047264159593677392,2.670837590738158E-08,154.08,GOOD,GOOD
1,0,0,-0.0054525382643486834,2.6564295485147246E-08,173.34,GOOD,GOOD
1,0,0,-0.0062092614538754769,2.6510209539292008E-08,192.6,GOOD,GOOD
1,0,0,-0.0070002458764296064,2.6463608437274557E-08,211.86,GOOD,GOOD
1,0,0,-0.0078313548131459729,2.6382790917105622E-08,231.11,GOOD,GOOD
1,0,0,-0.00869925248343743,2.6078498767527566E-08,250.37,GOOD,GOOD
1,0,0,-0.0096092784532895072,2.5809416389394367E-08,269.63,GOOD,GOOD
1,0,0,-0.010562115598804002,2.5648168655077123E-08,288.89,GOOD,GOOD
1,0,0,-0.011560316207136129,2.5674565091810735E-08,308.15,GOOD,GOOD
1,0,0,-0.012602868552357694,2.5253817662754246E-08,327.41,GOOD,GOOD
1,0,0,-0.013699002997007895,2.5282507537851827E-08,346.67,GOOD,GOOD
1,0,0,-0.01484342979153582,2.5125988018068988E-08,365.93,GOOD,GOOD
1,0,0,-0.016041619594636968,2.4639195775295585E-08,385.19,GOOD,GOOD
1,0,0,-0.017299091777548004,2.4561213003938639E-08,404.45,GOOD,GOOD
1,0,0,-0.018612384103153204,2.4196696734071281E-08,423.71,GOOD,GOOD
1,0,0,-0.019989252587857123,2.4018002858677339E-08,442.97,GOOD,GOOD
