#RUN ON SOFTWARE VERSION:
1.3
#FIELD CONFIGURATIONS
Magnet: EM7-CSB
Power supply: LS648
Magnet mode: High field
Head amplitude: 100%
Gap settings: Gap 3 - SSVT
Coil set name: LC-86
Coil set serial number: A13AK
Coil set balance number: 0
Moment X calibration value: -0.0832866947933444 A·m²/volt
Moment X calibration field: 0.5 T
Moment X calibration expected moment: 0.00692 A·m²
Moment X calibration standard ID: 
Moment X calibration comments: 
#SAMPLE SETTINGS
ID: AX16-1r
Volume: 1.00000 cm³
Area: 1.00000 cm²
Mass: 323.500E-3 g
Demagnetization factor: 0.00000 in SI µ0H
#HYSTERESIS MEASUREMENT
#ACQUISITION SETUP
Max field: 1 T
Field step size: 5 mT
Include initial curve: False
Averaging time: 0.5 s
#ADVANCED ACQUISITION SETUP
Acquisition mode: Continuous
Pause at +/- max fields: 1 s
Moment meter range mode: Auto
Gaussmeter range mode: Manual
Gaussmeter fixed range: F0 (3.5 T)
#DISPLAY SETUP
X axis: Field (µ0H)
Left Y axis: Moment (m)
Right Y axis: None
START TIME: 01/09/2020 12:17:20.620 PM
FINISH TIME: 01/09/2020 12:24:04.100 PM
#DATA: 2
##DATA TABLE Moment (m) [A·m²] vs Field (µ0H) [T]
Step,Iteration,Segment,Field (µ0H) [T],Moment (m) [A·m²],Time Stamp [s],Field Status,Moment (m) Status
2,0,0,1.0017670682074638,1.2670273074191123E-06,0,GOOD,GOOD
2,0,0,0.99584804092269819,1.2592416631724544E-06,0.96,GOOD,GOOD
2,0,0,0.99066203937741193,1.2526705162234705E-06,1.46,GOOD,GOOD
2,0,0,0.98553959333376262,1.2470684283155881E-06,1.96,GOOD,GOOD
2,0,0,0.98046057817009624,1.2413543897299143E-06,2.46,GOOD,GOOD
2,0,0,0.97540674770570457,1.2353210168958613E-06,2.96,GOOD,GOOD
2,0,0,0.97036592251319931,1.2279144302874808E-06,3.46,GOOD,GOOD
2,0,0,0.96534160300955829,1.2214424082281779E-06,3.96,GOOD,GOOD
2,0,0,0.96031820990995254,1.2176514243168202E-06,4.46,GOOD,GOOD
2,0,0,0.95530616568626392,1.2103768315207332E-06,4.96,GOOD,GOOD
2,0,0,0.95029230768188822,1.2049848177810865E-06,5.46,GOOD,GOOD
2,0,0,0.94527851566547394,1.1986672854149708E-06,5.96,GOOD,GOOD
2,0,0,0.94027189347747009,1.1926113500410732E-06,6.46,GOOD,GOOD
2,0,0,0.93526275369759371,1.185717504081674E-06,6.96,GOOD,GOOD
2,0,0,0.93025827622834045,1.17964677648062E-06,7.46,GOOD,GOOD
2,0,0,0.9252532912018403,1.1739388235541523E-06,7.96,GOOD,GOOD
2,0,0,0.9202463808516741,1.1681397054227105E-06,8.46,GOOD,GOOD
2,0,0,0.91524190812914497,1.1631364300189578E-06,8.96,GOOD,GOOD
2,0,0,0.91024153077733905,1.1557900940121764E-06,9.46,GOOD,GOOD
2,0,0,0.90523414344545583,1.1506674127329842E-06,9.96,GOOD,GOOD
2,0,0,0.9002331461884332,1.1445572487876951E-06,10.46,GOOD,GOOD
2,0,0,0.89522530071218676,1.1368968703442363E-06,10.96,GOOD,GOOD
2,0,0,0.89022220543335528,1.1328872147749754E-06,11.46,GOOD,GOOD
2,0,0,0.88522072556207043,1.1249009316315619E-06,11.96,GOOD,GOOD
2,0,0,0.88021525582311932,1.1195254856711227E-06,12.46,GOOD,GOOD
2,0,0,0.87521572241860046,1.1132223077040556E-06,12.96,GOOD,GOOD
2,0,0,0.87021164654601346,1.1081375114335176E-06,13.46,GOOD,GOOD
2,0,0,0.86520435986284283,1.1010148798354191E-06,13.96,GOOD,GOOD
2,0,0,0.86020281006797283,1.0955415906551239E-06,14.46,GOOD,GOOD
2,0,0,0.8552017334816584,1.0901601059997394E-06,14.96,GOOD,GOOD
2,0,0,0.85019572954841582,1.0837910689893553E-06,15.46,GOOD,GOOD
2,0,0,0.84519481932611595,1.077066950353289E-06,15.96,GOOD,GOOD
2,0,0,0.8401929537015469,1.0722584720982465E-06,16.46,GOOD,GOOD
2,0,0,0.83518765987002175,1.0655233411005247E-06,16.96,GOOD,GOOD
2,0,0,0.83018531482268432,1.0609778596756654E-06,17.46,GOOD,GOOD
