START TIME: 01/09/2020 10:50:49.280 AM
FINISH TIME: 01/09/2020 11:23:36.120 AM
#DATA: 1
##DATA TABLE Moment (m) [A·m²] vs Field (µ0H) [T]
Step,Iteration,Segment,Field (µ0H) [T],Moment (m) [A·m²],Time Stamp [s],Field Status,Moment (m) Status
1,0,0,-5.6684294158236153E-06,2.6923730008959173E-08,0,GOOD,GOOD
1,0,0,-0.00050347511238096128,2.6693378429362203E-08,19.27,GOOD,GOOD
1,0,0,-0.0010210909508895501,2.6432236552550572E-08,38.53,GOOD,GOOD
1,0,0,-0.0015737327306052148,2.6111868338864686E-08,57.8,GOOD,GOOD
1,0,0,-0.0021500143113464096,2.5991220578293896E-08,77.07,GOOD,GOOD
1,0,0,-0.00274797637271741,2.5766330639225576E-08,96.33,GOOD,GOOD
1,0,0,-0.0033783353999144159,2.5616211893688548E-08,115.59,GOOD,GOOD
1,0,0,-0.004039301680031201,2.5418189332343131E-08,134.85,GOOD,GOOD
1,0,0,-0.0047302131276123864,2.5013686642235462E-08,154.11,GOOD,GOOD
1,0,0,-0.0054523288057481403,2.474536240669574E-08,173.37,GOOD,GOOD
1,0,0,-0.0062069370592837333,2.4348984506473603E-08,192.63,GOOD,GOOD
1,0,0,-0.0069997539525918154,2.3871359411623351E-08,211.88,GOOD,GOOD
1,0,0,-0.0078289470100392413,2.3350315121536643E-08,231.14,GOOD,GOOD
1,0,0,-0.0087016395535345972,2.3226483501285924E-08,250.4,GOOD,GOOD
1,0,0,-0.0096116528637506474,2.2683841382130237E-08,269.66,GOOD,GOOD
1,0,0,-0.010563780500239067,2.2186689184428337E-08,288.92,GOOD,GOOD
1,0,0,-0.011559531153666248,2.1582765340131043E-08,308.18,GOOD,GOOD
1,0,0,-0.012603408606204203,2.0923883632675959E-08,327.44,GOOD,GOOD
1,0,0,-0.013697277553699084,2.0075071136749461E-08,346.7,GOOD,GOOD
1,0,0,-0.014840944039033488,1.9472897655657617E-08,365.96,GOOD,GOOD
1,0,0,-0.016043536194851479,1.8906413374417107E-08,385.22,GOOD,GOOD
1,0,0,-0.017298053637591963,1.8158388258026168E-08,404.48,GOOD,GOOD
1,0,0,-0.01861523430693347,1.7120170260836297E-08,423.74,GOOD,GOOD
1,0,0,-0.019989114996283017,1.6407722073319802E-08,442.99,GOOD,GOOD
1,0,0,-0.021431962319534897,1.5306997431222827E-08,462.25,GOOD,GOOD
1,0,0,-0.022940720807417495,1.4391310943174427E-08,481.51,GOOD,GOOD
1,0,0,-0.024523941662831294,1.336008194049466E-08,500.77,GOOD,GOOD
1,0,0,-0.026178157870027217,1.2287493588189687E-08,520.03,GOOD,GOOD
1,0,0,-0.027909437629441574,1.1118872257483073E-08,539.29,GOOD,GOOD
1,0,0,-0.029723971409207035,9.9747843251368102E-09,558.55,GOOD,GOOD
1,0,0,-0.031624606631939459,8.835322247458167E-09,577.81,GOOD,GOOD
1,0,0,-0.033613640107771042,7.6375307970244738E-09,597.07,GOOD,GOOD
1,0,0,-0.035695491600053704,6.306313826534673E-09,616.33,GOOD,GOOD
1,0,0,-0.037877127722620647,4.9407620378986881E-09,635.59,GOOD,GOOD
1,0,0,-0.0401601050360458,3.7481933261523948E-09,654.85,GOOD,GOOD
1,0,0,-0.042553012314426167,2.3014682254494872E-09,674.11,GOOD,GOOD
1,0,0,-0.045058858695573585,9.0396971052267804E-10,693.37,GOOD,GOOD
1,0,0,-0.047678221070750287,-4.4718576513933169E-10,712.63,GOOD,GOOD
