START TIME: 01/08/2020 10:48:46.465 AM
FINISH TIME: 01/08/2020 11:21:15.395 AM
#DATA: 1
##DATA TABLE Moment (m) [A·m²] vs Field (µ0H) [T]
Step,Iteration,Segment,Field (µ0H) [T],Moment (m) [A·m²],Time Stamp [s],Field Status,Moment (m) Status
1,0,0,-9.60024573034281E-06,3.2461557276679134E-08,0,GOOD,GOOD
1,0,0,-0.00049860562128034851,3.2092743573074231E-08,19.26,GOOD,GOOD
1,0,0,-0.0010258645008703376,3.1862334451817954E-08,38.52,GOOD,GOOD
1,0,0,-0.0015791513323823103,3.1265034134904734E-08,57.78,GOOD,GOOD
1,0,0,-0.0021463542963735586,3.0985352476518649E-08,77.04,GOOD,GOOD
1,0,0,-0.0027510664784592682,3.0408917210491983E-08,96.31,GOOD,GOOD
1,0,0,-0.0033804028054808654,2.9981081761490698E-08,115.57,GOOD,GOOD
1,0,0,-0.0040373787945090726,2.9177927692403928E-08,134.83,GOOD,GOOD
1,0,0,-0.0047298753279189963,2.8758533639904251E-08,154.09,GOOD,GOOD
1,0,0,-0.0054541904288187299,2.8383315193204971E-08,173.35,GOOD,GOOD
1,0,0,-0.006206064801004163,2.7676916781527148E-08,192.6,GOOD,GOOD
1,0,0,-0.0069983357721298987,2.6286319604649358E-08,211.86,GOOD,GOOD
1,0,0,-0.0078309512825176959,2.5430895479611364E-08,231.12,GOOD,GOOD
1,0,0,-0.0087009138989209995,2.4696741764511235E-08,250.38,GOOD,GOOD
1,0,0,-0.0096103586583093682,2.3718839989095404E-08,269.64,GOOD,GOOD
1,0,0,-0.010558332812532467,2.294927546968517E-08,288.9,GOOD,GOOD
1,0,0,-0.011560354340180469,2.1950069845523928E-08,308.16,GOOD,GOOD
1,0,0,-0.012601697363628876,2.1160512988490179E-08,327.42,GOOD,GOOD
1,0,0,-0.013699582012108809,2.0153506134772594E-08,346.68,GOOD,GOOD
1,0,0,-0.014846603195996287,1.8951162897018543E-08,365.94,GOOD,GOOD
1,0,0,-0.016044361285373232,1.8033502861578198E-08,385.2,GOOD,GOOD
1,0,0,-0.017300497331394885,1.6696967187391994E-08,404.46,GOOD,GOOD
1,0,0,-0.018614925418349693,1.5583313783031556E-08,423.72,GOOD,GOOD
1,0,0,-0.019990056388447908,1.4677692261540722E-08,442.98,GOOD,GOOD
1,0,0,-0.021429980510990539,1.3361267516766778E-08,462.24,GOOD,GOOD
1,0,0,-0.022947249639151138,1.2047528060938324E-08,481.5,GOOD,GOOD
1,0,0,-0.024523048574038003,1.073841630229248E-08,500.76,GOOD,GOOD
1,0,0,-0.026175729984794054,9.3038145448630659E-09,520.02,GOOD,GOOD
