[Header]
TITLE,MPMS DC Measurement
BYAPP,MPMS Measurement,2.1,Summary
FILEOPENTIME, 1578331924.896000 1/6/2020, 11:32:04 AM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.61,  Build 082

INFO, NAME, BD7-7r
INFO, WEIGHT, 1.000
INFO, AREA, 1.000
INFO, LENGTH, 1.000
INFO, SHAPE, 0
INFO, COMMENT, 
INFO, SEQUENCE FILE: FC-ZFC LTSIRM and RTSIRM LTD 10K.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,15,16,17,18,27,28
FIELDGROUP,Transverse,1,2,3,4,10,11,12,13,14,19,20,21,22,27,28

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Algorithm,Long Reg Fit,Long Percent Error (%),Trans Moment (emu),Trans Scan Std Dev,Trans Algorithm,Trans Reg Fit,Trans Percent Error (%),Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Long Percent Error [w/o ABS] (%),Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],Trans Percent Error [w/o ABS] (%),Points per Scan,Scans per Measurement,Scan Length (cm),Delta Temp (K),Rot Position (deg),Error,EC Comp. Running,Using ABS,
1578331924.896,,0.000000e+000,9.999552e+000,3.039503e-002,0.000000e+000,3,9.927777e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,2.715683e-002,0.000000e+000,0,,0,
1578332007.606,,0.000000e+000,1.551839e+001,2.952080e-002,0.000000e+000,3,9.925432e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,9.877892e-001,0.000000e+000,0,,0,
1578332080.236,,0.000000e+000,2.156472e+001,2.083886e-002,0.000000e+000,3,9.926189e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.007151e+000,0.000000e+000,0,,0,
1578332128.866,,0.000000e+000,2.557139e+001,1.689488e-002,0.000000e+000,3,9.923410e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,9.762402e-001,0.000000e+000,0,,0,
1578332188.726,,0.000000e+000,3.050145e+001,1.385811e-002,0.000000e+000,3,9.918736e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,9.412594e-001,0.000000e+000,0,,0,
1578332250.606,,0.000000e+000,3.559827e+001,1.186432e-002,0.000000e+000,3,9.917900e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,8.311501e-001,0.000000e+000,0,,0,
1578332312.777,,0.000000e+000,4.068591e+001,1.029651e-002,0.000000e+000,3,9.916605e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,9.684868e-001,0.000000e+000,0,,0,
1578332372.057,,0.000000e+000,4.556419e+001,9.004356e-003,0.000000e+000,3,9.908584e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.018688e+000,0.000000e+000,0,,0,
1578332432.167,,0.000000e+000,5.058157e+001,7.883294e-003,0.000000e+000,3,9.913650e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,9.263306e-001,0.000000e+000,0,,0,
1578332504.617,,0.000000e+000,5.664729e+001,6.785333e-003,0.000000e+000,3,9.916754e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,9.040871e-001,0.000000e+000,0,,0,
