[Header]
TITLE,MPMS DC Measurement
BYAPP,MPMS Measurement,2.1,Summary
FILEOPENTIME, 1578513513.917000 1/8/2020, 1:58:33 PM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.61,  Build 082

INFO, NAME, AX20-1r
INFO, WEIGHT, 1.000
INFO, AREA, 1.000
INFO, LENGTH, 1.000
INFO, SHAPE, 0
INFO, COMMENT, 
INFO, SEQUENCE FILE: RTSIRM LTD 10K.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,15,16,17,18,27,28
FIELDGROUP,Transverse,1,2,3,4,10,11,12,13,14,19,20,21,22,27,28

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Algorithm,Long Reg Fit,Long Percent Error (%),Trans Moment (emu),Trans Scan Std Dev,Trans Algorithm,Trans Reg Fit,Trans Percent Error (%),Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Long Percent Error [w/o ABS] (%),Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],Trans Percent Error [w/o ABS] (%),Points per Scan,Scans per Measurement,Scan Length (cm),Delta Temp (K),Rot Position (deg),Error,EC Comp. Running,Using ABS,
1578513513.917,,0.000000e+000,2.999927e+002,5.188099e-004,0.000000e+000,3,9.883903e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,0.000000e+000,0.000000e+000,0,,0,
1578513716.737,,0.000000e+000,2.966566e+002,5.177073e-004,0.000000e+000,3,9.878976e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,5.476990e-001,0.000000e+000,0,,0,
1578513772.397,,0.000000e+000,2.935339e+002,5.162978e-004,0.000000e+000,3,9.877421e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,7.832031e-001,0.000000e+000,0,,0,
1578513822.357,,0.000000e+000,2.905839e+002,5.145969e-004,0.000000e+000,3,9.876577e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,7.023010e-001,0.000000e+000,0,,0,
1578513872.387,,0.000000e+000,2.875983e+002,5.126412e-004,0.000000e+000,3,9.877165e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,7.738953e-001,0.000000e+000,0,,0,
1578513925.868,,0.000000e+000,2.846424e+002,5.107875e-004,0.000000e+000,3,9.876270e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,7.932129e-001,0.000000e+000,0,,0,
1578513984.978,,0.000000e+000,2.816687e+002,5.089874e-004,0.000000e+000,3,9.877265e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,6.677856e-001,0.000000e+000,0,,0,
1578514049.098,,0.000000e+000,2.787101e+002,5.071164e-004,0.000000e+000,3,9.876248e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,5.826111e-001,0.000000e+000,0,,0,
1578514117.878,,0.000000e+000,2.757338e+002,5.050489e-004,0.000000e+000,3,9.876477e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,6.258850e-001,0.000000e+000,0,,0,
1578514185.828,,0.000000e+000,2.727042e+002,5.029035e-004,0.000000e+000,3,9.876826e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,5.997009e-001,0.000000e+000,0,,0,
1578514249.318,,0.000000e+000,2.697581e+002,5.010182e-004,0.000000e+000,3,9.876100e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,5.529175e-001,0.000000e+000,0,,0,
1578514313.118,,0.000000e+000,2.666912e+002,4.991200e-004,0.000000e+000,3,9.875429e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,6.343079e-001,0.000000e+000,0,,0,
1578514373.658,,0.000000e+000,2.637415e+002,4.971722e-004,0.000000e+000,3,9.874328e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,6.703796e-001,0.000000e+000,0,,0,
1578514435.228,,0.000000e+000,2.607833e+002,4.950360e-004,0.000000e+000,3,9.874328e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,6.943054e-001,0.000000e+000,0,,0,
1578514495.718,,0.000000e+000,2.578015e+002,4.929235e-004,0.000000e+000,3,9.875762e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,6.184998e-001,0.000000e+000,0,,0,
1578514556.858,,0.000000e+000,2.547820e+002,4.906888e-004,0.000000e+000,3,9.876156e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,7.082977e-001,0.000000e+000,0,,0,
1578514617.969,,0.000000e+000,2.517766e+002,4.885924e-004,0.000000e+000,3,9.875654e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,6.343994e-001,0.000000e+000,0,,0,
1578514679.319,,0.000000e+000,2.487603e+002,4.864331e-004,0.000000e+000,3,9.874736e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,6.454926e-001,0.000000e+000,0,,0,
1578514739.459,,0.000000e+000,2.457984e+002,4.842675e-004,0.000000e+000,3,9.875403e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,6.289978e-001,0.000000e+000,0,,0,
1578514798.789,,0.000000e+000,2.428598e+002,4.820030e-004,0.000000e+000,3,9.875888e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,6.474915e-001,0.000000e+000,0,,0,
1578514860.709,,0.000000e+000,2.398153e+002,4.794356e-004,0.000000e+000,3,9.876581e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,7.057037e-001,0.000000e+000,0,,0,
1578514920.219,,0.000000e+000,2.368275e+002,4.772679e-004,0.000000e+000,3,9.877332e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,6.623077e-001,0.000000e+000,0,,0,
1578514979.969,,0.000000e+000,2.339071e+002,4.750851e-004,0.000000e+000,3,9.875804e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,6.287994e-001,0.000000e+000,0,,0,
1578515042.349,,0.000000e+000,2.308480e+002,4.726079e-004,0.000000e+000,3,9.875533e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,6.424103e-001,0.000000e+000,0,,0,
1578515102.019,,0.000000e+000,2.278817e+002,4.701003e-004,0.000000e+000,3,9.876703e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,5.723877e-001,0.000000e+000,0,,0,
1578515162.739,,0.000000e+000,2.248843e+002,4.676105e-004,0.000000e+000,3,9.876869e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,6.374054e-001,0.000000e+000,0,,0,
1578515224.139,,0.000000e+000,2.218578e+002,4.651464e-004,0.000000e+000,3,9.876174e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,6.623077e-001,0.000000e+000,0,,0,
1578515283.729,,0.000000e+000,2.189188e+002,4.626417e-004,0.000000e+000,3,9.875886e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,6.509857e-001,0.000000e+000,0,,0,
1578515343.080,,0.000000e+000,2.159593e+002,4.601862e-004,0.000000e+000,3,9.875343e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,6.528015e-001,0.000000e+000,0,,0,
1578515404.200,,0.000000e+000,2.128799e+002,4.574333e-004,0.000000e+000,3,9.874336e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,6.660919e-001,0.000000e+000,0,,0,
1578515463.770,,0.000000e+000,2.099612e+002,4.546880e-004,0.000000e+000,3,9.875253e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,6.661072e-001,0.000000e+000,0,,0,
1578515525.120,,0.000000e+000,2.069282e+002,4.518451e-004,0.000000e+000,3,9.875306e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,7.259979e-001,0.000000e+000,0,,0,
1578515585.380,,0.000000e+000,2.039582e+002,4.490327e-004,0.000000e+000,3,9.876379e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,6.566925e-001,0.000000e+000,0,,0,
1578515645.420,,0.000000e+000,2.009361e+002,4.461336e-004,0.000000e+000,3,9.875328e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,6.137085e-001,0.000000e+000,0,,0,
1578515704.940,,0.000000e+000,1.979769e+002,4.430681e-004,0.000000e+000,3,9.874024e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,6.177063e-001,0.000000e+000,0,,0,
1578515765.280,,0.000000e+000,1.950078e+002,4.397685e-004,0.000000e+000,3,9.874423e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,5.987091e-001,0.000000e+000,0,,0,
1578515826.220,,0.000000e+000,1.919790e+002,4.363849e-004,0.000000e+000,3,9.874831e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,6.694031e-001,0.000000e+000,0,,0,
1578515885.430,,0.000000e+000,1.890301e+002,4.329894e-004,0.000000e+000,3,9.874730e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,6.737976e-001,0.000000e+000,0,,0,
1578515946.290,,0.000000e+000,1.860197e+002,4.294957e-004,0.000000e+000,3,9.874752e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,5.481873e-001,0.000000e+000,0,,0,
1578516006.900,,0.000000e+000,1.830175e+002,4.258481e-004,0.000000e+000,3,9.873155e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,5.892944e-001,0.000000e+000,0,,0,
1578516067.071,,0.000000e+000,1.800506e+002,4.220951e-004,0.000000e+000,3,9.874284e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,7.023926e-001,0.000000e+000,0,,0,
1578516127.311,,0.000000e+000,1.770822e+002,4.180510e-004,0.000000e+000,3,9.873659e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,5.991058e-001,0.000000e+000,0,,0,
1578516187.461,,0.000000e+000,1.740430e+002,4.139016e-004,0.000000e+000,3,9.875669e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,6.091003e-001,0.000000e+000,0,,0,
